crop_path,text,split,field_type,style_id,bias,category,vocab_bucket
crops\name_00119.png,Americano,train,name,9,0.75,Coffee,val
crops\name_00120.png,Americano,train,name,5,0.46,Coffee,val
crops\name_00121.png,Americano,val,name,12,0.87,Coffee,val
crops\name_00122.png,Americano,val,name,7,0.79,Coffee,val
crops\name_00123.png,Americano,test,name,10,0.72,Coffee,val
crops\name_00124.png,Americano,val,name,7,0.55,Coffee,val
crops\name_00125.png,Americano,train,name,6,0.71,Coffee,val
crops\name_00126.png,Americano,test,name,10,0.48,Coffee,val
crops\name_00127.png,Americano,train,name,8,0.59,Coffee,val
crops\name_00128.png,Americano,train,name,5,0.92,Coffee,val
crops\name_00129.png,Americano,train,name,4,0.91,Coffee,val
crops\name_00130.png,Americano,train,name,5,0.68,Coffee,val
crops\name_00131.png,Americano,train,name,1,0.66,Coffee,val
crops\name_00132.png,Americano,train,name,6,0.66,Coffee,val
crops\name_00133.png,Americano,train,name,8,0.78,Coffee,val
crops\name_00134.png,Americano,train,name,6,0.45,Coffee,val
crops\name_00135.png,Americano,train,name,0,0.47,Coffee,val
crops\name_00136.png,Americano,train,name,1,0.7,Coffee,val
crops\name_00137.png,Americano,train,name,9,0.92,Coffee,val
crops\price_00138.png,6,train,price,1,0.79,Coffee,val
crops\price_00139.png,6,train,price,6,0.68,Coffee,val
crops\price_00140.png,6,train,price,6,0.54,Coffee,val
crops\price_00141.png,6,train,price,0,0.65,Coffee,val
crops\price_00142.png,6,val,price,7,0.56,Coffee,val
crops\price_00143.png,6,train,price,0,0.49,Coffee,val
crops\price_00144.png,6,train,price,6,0.43,Coffee,val
crops\price_00145.png,6,train,price,11,0.87,Coffee,val
crops\price_00146.png,6,test,price,3,0.67,Coffee,val
crops\price_00147.png,6,test,price,10,0.78,Coffee,val
crops\price_00148.png,6,train,price,2,0.6,Coffee,val
crops\price_00149.png,6,val,price,12,0.49,Coffee,val
crops\price_00150.png,6,train,price,9,0.71,Coffee,val
crops\price_00151.png,6,train,price,6,0.7,Coffee,val
crops\price_00152.png,6,val,price,12,0.84,Coffee,val
crops\price_00153.png,6,test,price,3,0.61,Coffee,val
crops\price_00154.png,6,train,price,1,0.93,Coffee,val
crops\price_00155.png,6,val,price,12,0.48,Coffee,val
crops\price_00156.png,6,train,price,11,0.85,Coffee,val
crops\price_00157.png,6,train,price,2,0.59,Coffee,val
crops\price_00158.png,6,val,price,7,0.42,Coffee,val
crops\price_00159.png,6,train,price,6,0.51,Coffee,val
crops\price_00160.png,6,test,price,3,0.66,Coffee,val
crops\name_00161.png,Cappuccino,train,name,0,0.45,Coffee,train
crops\name_00162.png,Cappuccino,train,name,6,0.68,Coffee,train
crops\name_00163.png,Cappuccino,train,name,0,0.41,Coffee,train
crops\name_00164.png,Cappuccino,train,name,0,0.83,Coffee,train
crops\name_00165.png,Cappuccino,train,name,5,0.9,Coffee,train
crops\name_00166.png,Cappuccino,train,name,6,0.42,Coffee,train
crops\name_00167.png,Cappuccino,train,name,8,0.54,Coffee,train
crops\name_00168.png,Cappuccino,test,name,3,0.54,Coffee,train
crops\name_00169.png,Cappuccino,train,name,11,0.92,Coffee,train
crops\name_00170.png,Cappuccino,val,name,12,0.88,Coffee,train
crops\name_00171.png,Cappuccino,test,name,3,0.61,Coffee,train
crops\name_00172.png,Cappuccino,train,name,11,0.62,Coffee,train
crops\name_00173.png,Cappuccino,train,name,11,0.52,Coffee,train
crops\name_00174.png,Cappuccino,train,name,9,0.74,Coffee,train
crops\name_00175.png,Cappuccino,train,name,2,0.41,Coffee,train
crops\name_00176.png,Cappuccino,train,name,5,0.87,Coffee,train
crops\name_00177.png,Cappuccino,test,name,3,0.64,Coffee,train
crops\name_00178.png,Cappuccino,train,name,5,0.54,Coffee,train
crops\name_00179.png,Cappuccino,test,name,3,0.73,Coffee,train
crops\name_00180.png,Cappuccino,train,name,9,0.85,Coffee,train
crops\name_00181.png,Cappuccino,val,name,7,0.81,Coffee,train
crops\name_00182.png,Cappuccino,train,name,5,0.81,Coffee,train
crops\name_00183.png,Cappuccino,train,name,9,0.75,Coffee,train
crops\price_00184.png,4.59,train,price,8,0.45,Coffee,train
crops\price_00185.png,4.59,test,price,10,0.81,Coffee,train
crops\price_00186.png,4.59,train,price,8,0.54,Coffee,train
crops\price_00187.png,4.59,train,price,9,0.83,Coffee,train
crops\price_00188.png,4.59,train,price,8,0.85,Coffee,train
crops\price_00189.png,4.59,train,price,5,0.75,Coffee,train
crops\price_00190.png,4.59,train,price,0,0.73,Coffee,train
crops\price_00191.png,4.59,train,price,11,0.86,Coffee,train
crops\price_00192.png,4.59,train,price,4,0.55,Coffee,train
crops\price_00193.png,4.59,train,price,2,0.82,Coffee,train
crops\price_00194.png,4.59,train,price,9,0.81,Coffee,train
crops\price_00195.png,4.59,val,price,12,0.62,Coffee,train
crops\price_00196.png,4.59,train,price,1,0.48,Coffee,train
crops\price_00197.png,4.59,train,price,6,0.73,Coffee,train
crops\price_00198.png,4.59,train,price,5,0.84,Coffee,train
crops\price_00199.png,4.59,train,price,0,0.71,Coffee,train
crops\price_00200.png,4.59,test,price,10,0.76,Coffee,train
crops\price_00201.png,4.59,train,price,8,0.76,Coffee,train
crops\price_00202.png,4.59,train,price,9,0.64,Coffee,train
crops\price_00203.png,4.59,train,price,4,0.53,Coffee,train
crops\price_00204.png,4.59,train,price,5,0.53,Coffee,train
crops\price_00205.png,4.59,train,price,9,0.6,Coffee,train
crops\price_00206.png,4.59,train,price,11,0.41,Coffee,train
crops\name_00207.png,Latte,train,name,5,0.87,Coffee,test
crops\name_00208.png,Latte,train,name,9,0.8,Coffee,test
crops\name_00209.png,Latte,train,name,8,0.94,Coffee,test
crops\name_00210.png,Latte,train,name,0,0.83,Coffee,test
crops\name_00211.png,Latte,test,name,3,0.55,Coffee,test
crops\name_00212.png,Latte,train,name,11,0.74,Coffee,test
crops\name_00213.png,Latte,train,name,8,0.76,Coffee,test
crops\name_00214.png,Latte,val,name,12,0.73,Coffee,test
crops\name_00215.png,Latte,train,name,8,0.58,Coffee,test
crops\name_00216.png,Latte,train,name,1,0.59,Coffee,test
crops\name_00217.png,Latte,train,name,8,0.87,Coffee,test
crops\name_00218.png,Latte,train,name,11,0.44,Coffee,test
crops\name_00219.png,Latte,train,name,9,0.48,Coffee,test
crops\name_00220.png,Latte,train,name,8,0.62,Coffee,test
crops\name_00221.png,Latte,test,name,3,0.69,Coffee,test
crops\name_00222.png,Latte,train,name,9,0.62,Coffee,test
crops\name_00223.png,Latte,test,name,3,0.64,Coffee,test
crops\name_00224.png,Latte,train,name,6,0.58,Coffee,test
crops\name_00225.png,Latte,test,name,3,0.87,Coffee,test
crops\name_00226.png,Latte,train,name,1,0.68,Coffee,test
crops\name_00227.png,Latte,test,name,10,0.8,Coffee,test
crops\name_00228.png,Latte,train,name,5,0.49,Coffee,test
crops\name_00229.png,Latte,train,name,6,0.92,Coffee,test
crops\price_00230.png,7.11,train,price,0,0.42,Coffee,test
crops\price_00231.png,7.11,train,price,2,0.53,Coffee,test
crops\price_00232.png,7.11,train,price,0,0.52,Coffee,test
crops\price_00233.png,7.11,train,price,1,0.46,Coffee,test
crops\price_00234.png,7.11,train,price,5,0.58,Coffee,test
crops\price_00235.png,7.11,test,price,3,0.88,Coffee,test
crops\price_00236.png,7.11,train,price,11,0.71,Coffee,test
crops\price_00237.png,7.11,val,price,12,0.57,Coffee,test
crops\price_00238.png,7.11,val,price,7,0.74,Coffee,test
crops\price_00239.png,7.11,train,price,4,0.68,Coffee,test
crops\price_00240.png,7.11,test,price,10,0.42,Coffee,test
crops\price_00241.png,7.11,train,price,5,0.82,Coffee,test
crops\price_00242.png,7.11,train,price,8,0.84,Coffee,test
crops\price_00243.png,7.11,train,price,6,0.43,Coffee,test
crops\price_00244.png,7.11,train,price,1,0.59,Coffee,test
crops\price_00245.png,7.11,train,price,0,0.46,Coffee,test
crops\price_00246.png,7.11,train,price,11,0.43,Coffee,test
crops\price_00247.png,7.11,train,price,11,0.86,Coffee,test
crops\price_00248.png,7.11,test,price,3,0.65,Coffee,test
crops\price_00249.png,7.11,train,price,4,0.59,Coffee,test
crops\price_00250.png,7.11,test,price,3,0.9,Coffee,test
crops\price_00251.png,7.11,train,price,11,0.68,Coffee,test
crops\price_00252.png,7.11,train,price,5,0.41,Coffee,test
crops\name_00253.png,Flat White,train,name,9,0.55,Coffee,train
crops\name_00254.png,Flat White,val,name,7,0.79,Coffee,train
crops\name_00255.png,Flat White,train,name,4,0.67,Coffee,train
crops\name_00256.png,Flat White,train,name,11,0.91,Coffee,train
crops\name_00257.png,Flat White,train,name,5,0.42,Coffee,train
crops\name_00258.png,Flat White,train,name,2,0.85,Coffee,train
crops\name_00259.png,Flat White,test,name,10,0.64,Coffee,train
crops\name_00260.png,Flat White,test,name,10,0.46,Coffee,train
crops\name_00261.png,Flat White,train,name,0,0.82,Coffee,train
crops\name_00262.png,Flat White,train,name,0,0.42,Coffee,train
crops\name_00263.png,Flat White,val,name,7,0.76,Coffee,train
crops\name_00264.png,Flat White,test,name,3,0.85,Coffee,train
crops\name_00265.png,Flat White,train,name,1,0.48,Coffee,train
crops\name_00266.png,Flat White,train,name,1,0.8,Coffee,train
crops\name_00267.png,Flat White,train,name,9,0.78,Coffee,train
crops\name_00268.png,Flat White,train,name,2,0.54,Coffee,train
crops\name_00269.png,Flat White,train,name,4,0.85,Coffee,train
crops\name_00270.png,Flat White,test,name,10,0.54,Coffee,train
crops\name_00271.png,Flat White,train,name,8,0.6,Coffee,train
crops\name_00272.png,Flat White,train,name,11,0.94,Coffee,train
crops\name_00273.png,Flat White,train,name,4,0.6,Coffee,train
crops\name_00274.png,Flat White,train,name,4,0.4,Coffee,train
crops\name_00275.png,Flat White,test,name,10,0.7,Coffee,train
crops\price_00276.png,"6,05",train,price,5,0.46,Coffee,train
crops\price_00277.png,"6,05",val,price,12,0.73,Coffee,train
crops\price_00278.png,"6,05",val,price,7,0.86,Coffee,train
crops\price_00279.png,"6,05",train,price,1,0.95,Coffee,train
crops\price_00280.png,"6,05",train,price,9,0.57,Coffee,train
crops\price_00281.png,"6,05",train,price,4,0.8,Coffee,train
crops\price_00282.png,"6,05",train,price,0,0.67,Coffee,train
crops\price_00283.png,"6,05",train,price,9,0.5,Coffee,train
crops\price_00284.png,"6,05",test,price,10,0.47,Coffee,train
crops\price_00285.png,"6,05",train,price,5,0.79,Coffee,train
crops\price_00286.png,"6,05",train,price,4,0.89,Coffee,train
crops\price_00287.png,"6,05",train,price,2,0.75,Coffee,train
crops\price_00288.png,"6,05",train,price,1,0.74,Coffee,train
crops\price_00289.png,"6,05",train,price,1,0.63,Coffee,train
crops\price_00290.png,"6,05",train,price,4,0.44,Coffee,train
crops\price_00291.png,"6,05",val,price,12,0.52,Coffee,train
crops\price_00292.png,"6,05",train,price,1,0.61,Coffee,train
crops\price_00293.png,"6,05",train,price,8,0.49,Coffee,train
crops\price_00294.png,"6,05",val,price,7,0.67,Coffee,train
crops\price_00295.png,"6,05",train,price,1,0.72,Coffee,train
crops\price_00296.png,"6,05",test,price,10,0.5,Coffee,train
crops\price_00297.png,"6,05",test,price,10,0.8,Coffee,train
crops\price_00298.png,"6,05",train,price,5,0.5,Coffee,train
crops\name_00299.png,Mocha,test,name,3,0.53,Coffee,train
crops\name_00300.png,Mocha,val,name,12,0.56,Coffee,train
crops\name_00301.png,Mocha,train,name,0,0.65,Coffee,train
crops\name_00302.png,Mocha,test,name,3,0.95,Coffee,train
crops\name_00303.png,Mocha,train,name,0,0.87,Coffee,train
crops\name_00304.png,Mocha,val,name,12,0.6,Coffee,train
crops\name_00305.png,Mocha,train,name,9,0.4,Coffee,train
crops\name_00306.png,Mocha,val,name,12,0.55,Coffee,train
crops\name_00307.png,Mocha,val,name,12,0.69,Coffee,train
crops\name_00308.png,Mocha,val,name,12,0.56,Coffee,train
crops\name_00309.png,Mocha,train,name,1,0.88,Coffee,train
crops\name_00310.png,Mocha,train,name,2,0.46,Coffee,train
crops\name_00311.png,Mocha,train,name,2,0.71,Coffee,train
crops\name_00312.png,Mocha,train,name,9,0.56,Coffee,train
crops\name_00313.png,Mocha,train,name,4,0.84,Coffee,train
crops\name_00314.png,Mocha,test,name,3,0.84,Coffee,train
crops\name_00315.png,Mocha,train,name,5,0.58,Coffee,train
crops\name_00316.png,Mocha,train,name,9,0.59,Coffee,train
crops\name_00317.png,Mocha,val,name,12,0.9,Coffee,train
crops\name_00318.png,Mocha,train,name,2,0.63,Coffee,train
crops\name_00319.png,Mocha,train,name,8,0.75,Coffee,train
crops\name_00320.png,Mocha,train,name,1,0.53,Coffee,train
crops\name_00321.png,Mocha,train,name,4,0.6,Coffee,train
crops\price_00322.png,9.84 DT,val,price,12,0.81,Coffee,train
crops\price_00323.png,9.84 DT,train,price,4,0.84,Coffee,train
crops\price_00324.png,9.84 DT,train,price,6,0.42,Coffee,train
crops\price_00325.png,9.84 DT,train,price,1,0.52,Coffee,train
crops\price_00326.png,9.84 DT,val,price,7,0.83,Coffee,train
crops\price_00327.png,9.84 DT,train,price,8,0.56,Coffee,train
crops\price_00328.png,9.84 DT,test,price,10,0.57,Coffee,train
crops\price_00329.png,9.84 DT,train,price,4,0.71,Coffee,train
crops\price_00330.png,9.84 DT,train,price,4,0.85,Coffee,train
crops\price_00331.png,9.84 DT,train,price,9,0.5,Coffee,train
crops\price_00332.png,9.84 DT,test,price,10,0.58,Coffee,train
crops\price_00333.png,9.84 DT,test,price,3,0.59,Coffee,train
crops\price_00334.png,9.84 DT,train,price,2,0.72,Coffee,train
crops\price_00335.png,9.84 DT,train,price,2,0.84,Coffee,train
crops\price_00336.png,9.84 DT,test,price,10,0.74,Coffee,train
crops\price_00337.png,9.84 DT,train,price,0,0.58,Coffee,train
crops\price_00338.png,9.84 DT,train,price,0,0.68,Coffee,train
crops\price_00339.png,9.84 DT,train,price,5,0.77,Coffee,train
crops\price_00340.png,9.84 DT,test,price,3,0.53,Coffee,train
crops\price_00341.png,9.84 DT,train,price,0,0.88,Coffee,train
crops\price_00342.png,9.84 DT,train,price,8,0.94,Coffee,train
crops\price_00343.png,9.84 DT,val,price,7,0.89,Coffee,train
crops\price_00344.png,9.84 DT,train,price,5,0.91,Coffee,train
crops\name_00345.png,Macchiato,train,name,6,0.82,Coffee,train
crops\name_00346.png,Macchiato,val,name,12,0.46,Coffee,train
crops\name_00347.png,Macchiato,train,name,9,0.43,Coffee,train
crops\name_00348.png,Macchiato,train,name,9,0.48,Coffee,train
crops\name_00349.png,Macchiato,val,name,12,0.76,Coffee,train
crops\name_00350.png,Macchiato,train,name,11,0.78,Coffee,train
crops\name_00351.png,Macchiato,train,name,8,0.79,Coffee,train
crops\name_00352.png,Macchiato,val,name,12,0.47,Coffee,train
crops\name_00353.png,Macchiato,train,name,5,0.8,Coffee,train
crops\name_00354.png,Macchiato,val,name,12,0.73,Coffee,train
crops\name_00355.png,Macchiato,train,name,4,0.93,Coffee,train
crops\name_00356.png,Macchiato,train,name,0,0.44,Coffee,train
crops\name_00357.png,Macchiato,train,name,1,0.6,Coffee,train
crops\name_00358.png,Macchiato,test,name,10,0.82,Coffee,train
crops\name_00359.png,Macchiato,train,name,2,0.46,Coffee,train
crops\name_00360.png,Macchiato,test,name,10,0.89,Coffee,train
crops\name_00361.png,Macchiato,val,name,7,0.71,Coffee,train
crops\name_00362.png,Macchiato,train,name,11,0.68,Coffee,train
crops\name_00363.png,Macchiato,val,name,12,0.46,Coffee,train
crops\name_00364.png,Macchiato,train,name,4,0.81,Coffee,train
crops\name_00365.png,Macchiato,train,name,11,0.62,Coffee,train
crops\name_00366.png,Macchiato,train,name,1,0.59,Coffee,train
crops\name_00367.png,Macchiato,train,name,11,0.5,Coffee,train
crops\price_00368.png,5.03,train,price,5,0.6,Coffee,train
crops\price_00369.png,5.03,train,price,1,0.94,Coffee,train
crops\price_00370.png,5.03,train,price,0,0.65,Coffee,train
crops\price_00371.png,5.03,train,price,5,0.41,Coffee,train
crops\price_00372.png,5.03,train,price,1,0.48,Coffee,train
crops\price_00373.png,5.03,train,price,5,0.53,Coffee,train
crops\price_00374.png,5.03,train,price,11,0.81,Coffee,train
crops\price_00375.png,5.03,val,price,7,0.64,Coffee,train
crops\price_00376.png,5.03,train,price,6,0.4,Coffee,train
crops\price_00377.png,5.03,train,price,0,0.84,Coffee,train
crops\price_00378.png,5.03,val,price,12,0.71,Coffee,train
crops\price_00379.png,5.03,train,price,5,0.44,Coffee,train
crops\price_00380.png,5.03,val,price,12,0.91,Coffee,train
crops\price_00381.png,5.03,train,price,6,0.6,Coffee,train
crops\price_00382.png,5.03,train,price,2,0.63,Coffee,train
crops\price_00383.png,5.03,train,price,2,0.42,Coffee,train
crops\price_00384.png,5.03,train,price,6,0.4,Coffee,train
crops\price_00385.png,5.03,train,price,0,0.57,Coffee,train
crops\price_00386.png,5.03,train,price,0,0.92,Coffee,train
crops\price_00387.png,5.03,train,price,11,0.48,Coffee,train
crops\price_00388.png,5.03,train,price,2,0.87,Coffee,train
crops\price_00389.png,5.03,train,price,5,0.89,Coffee,train
crops\price_00390.png,5.03,train,price,4,0.84,Coffee,train
crops\name_00391.png,Cold Brew,train,name,11,0.5,Coffee,train
crops\name_00392.png,Cold Brew,train,name,1,0.57,Coffee,train
crops\name_00393.png,Cold Brew,train,name,1,0.47,Coffee,train
crops\name_00394.png,Cold Brew,train,name,11,0.73,Coffee,train
crops\name_00395.png,Cold Brew,val,name,12,0.57,Coffee,train
crops\name_00396.png,Cold Brew,train,name,5,0.89,Coffee,train
crops\name_00397.png,Cold Brew,train,name,9,0.94,Coffee,train
crops\name_00398.png,Cold Brew,train,name,5,0.75,Coffee,train
crops\name_00399.png,Cold Brew,train,name,6,0.51,Coffee,train
crops\name_00400.png,Cold Brew,train,name,6,0.64,Coffee,train
crops\name_00401.png,Cold Brew,test,name,10,0.88,Coffee,train
crops\name_00402.png,Cold Brew,val,name,12,0.42,Coffee,train
crops\name_00403.png,Cold Brew,train,name,1,0.62,Coffee,train
crops\name_00404.png,Cold Brew,train,name,6,0.88,Coffee,train
crops\name_00405.png,Cold Brew,train,name,4,0.83,Coffee,train
crops\name_00406.png,Cold Brew,train,name,11,0.73,Coffee,train
crops\name_00407.png,Cold Brew,test,name,3,0.56,Coffee,train
crops\name_00408.png,Cold Brew,train,name,11,0.43,Coffee,train
crops\name_00409.png,Cold Brew,val,name,12,0.59,Coffee,train
crops\name_00410.png,Cold Brew,test,name,10,0.45,Coffee,train
crops\name_00411.png,Cold Brew,test,name,3,0.53,Coffee,train
crops\name_00412.png,Cold Brew,train,name,6,0.78,Coffee,train
crops\name_00413.png,Cold Brew,train,name,4,0.73,Coffee,train
crops\price_00414.png,"6,77",train,price,0,0.88,Coffee,train
crops\price_00415.png,"6,77",train,price,1,0.56,Coffee,train
crops\price_00416.png,"6,77",train,price,5,0.81,Coffee,train
crops\price_00417.png,"6,77",train,price,5,0.52,Coffee,train
crops\price_00418.png,"6,77",val,price,7,0.77,Coffee,train
crops\price_00419.png,"6,77",val,price,12,0.43,Coffee,train
crops\price_00420.png,"6,77",train,price,1,0.42,Coffee,train
crops\price_00421.png,"6,77",test,price,3,0.75,Coffee,train
crops\price_00422.png,"6,77",train,price,6,0.66,Coffee,train
crops\price_00423.png,"6,77",test,price,10,0.88,Coffee,train
crops\price_00424.png,"6,77",train,price,8,0.68,Coffee,train
crops\price_00425.png,"6,77",train,price,5,0.93,Coffee,train
crops\price_00426.png,"6,77",val,price,7,0.59,Coffee,train
crops\price_00427.png,"6,77",train,price,4,0.73,Coffee,train
crops\price_00428.png,"6,77",val,price,12,0.92,Coffee,train
crops\price_00429.png,"6,77",train,price,2,0.49,Coffee,train
crops\price_00430.png,"6,77",test,price,10,0.95,Coffee,train
crops\price_00431.png,"6,77",train,price,6,0.8,Coffee,train
crops\price_00432.png,"6,77",train,price,8,0.91,Coffee,train
crops\price_00433.png,"6,77",train,price,6,0.48,Coffee,train
crops\price_00434.png,"6,77",train,price,6,0.47,Coffee,train
crops\price_00435.png,"6,77",train,price,11,0.49,Coffee,train
crops\price_00436.png,"6,77",test,price,3,0.77,Coffee,train
crops\name_00437.png,Iced Latte,val,name,12,0.67,Coffee,train
